term,code,reference,see_also,type,indent_level
wasp,X58,,,code,0
weaving-machine,W31.89,,,code,0
winch,W24.0,,,code,0
agricultural operations,W30.89,,,code,0
wire NEC,W24.0,,,code,0
agricultural operations,W30.89,,,code,0
wood slivers,W45.8,,,code,0
yellow jacket,X58,,,code,0
zebra,,"Contact, with, hoof stock NEC",,see,0
pressure,X50.9,,,code,0
stress,X50.9,,,code,0
Coup de soleil,X32,,,code,0
aircraft (in transit) (powered),V95.9,,,code,0
balloon,V96.01,,,code,0
fixed wing NEC (private),V95.21,,,code,0
commercial,V95.31,,,code,0
glider,V96.21,,,code,0
hang,V96.11,,,code,0
powered,V95.11,,,code,0
helicopter,V95.01,,,code,0
in war operations,,"War operations, destruction of aircraft",,see,0
microlight,V95.11,,,code,0
nonpowered,V96.9,,,code,0
specified NEC,V96.8,,,code,0
powered NEC,V95.8,,,code,0
homicide (attempt),Y08.81,,,code,0
suicide (attempt),X83.0,,,code,0
ultralight,V95.11,,,code,0
spacecraft,V95.41,,,code,0
transport vehicle NEC,V89.9,,"Accident, transport",code_with_see_also,0
homicide (attempt),Y03.8,,,code,0
motor NEC (traffic),V89.2,,,code,0
homicide (attempt),Y03.8,,,code,0
suicide (attempt),,"Suicide, collision",,see,0
Cruelty (mental) (physical) (sexual),X58,,,code,0
Crushed (accidentally),X58,,,code,0
between objects (moving) (stationary and moving),W23.0,,,code,0
stationary,W23.1,,,code,0
alligator,W58.03,,,code,0
avalanche NEC,,Landslide,,see,0
cave-in,W20.0,,,code,0
caused by cataclysmic earth surface movement,,Landslide,,see,0
crocodile,W58.13,,,code,0
crowd or human stampede,W52,,,code,0
aircraft,V97.39,,,code,0
in war operations,,"War operations, destruction of aircraft",,see,0
"earth, material",W20.0,,,code,0
caused by cataclysmic earth surface movement,,Landslide,,see,0
object NEC,W20.8,,,code,0
landslide NEC,,Landslide,,see,0
lizard (nonvenomous),W59.09,,,code,0
machinery,,"Contact, with, by type of machine",,see,0
reptile NEC,W59.89,,,code,0
snake (nonvenomous),W59.13,,,code,0
machinery,,"Contact, with, by type of machine",,see,0
"Cut, cutting (any part of body) (accidental)",,,"Contact, with, by object or machine",see_also,0
during medical or surgical treatment as misadventure,,"Index to Diseases and Injuries, Complications",,see,0
homicide (attempt),,"Assault, cutting or piercing instrument",,see,0
inflicted by other person,,"Assault, cutting or piercing instrument",,see,0
execution,,"Legal, intervention",,see,0
intervention,,"Legal, intervention, sharp object",,see,0
machine NEC,W31.9,,"Contact, with, by type of machine",code_with_see_also,0
self-inflicted,,"Suicide, cutting or piercing instrument",,see,0
suicide (attempt),,"Suicide, cutting or piercing instrument",,see,0
Cyclone (any injury),X37.1,,,code,0
Decapitation (accidental circumstances) NEC,X58,,,code,0
homicide,X99.9,,,code,0
legal execution,,"Legal, intervention",,see,0
Dehydration from lack of water,X58,,,code,0
Deprivation,X58,,,code,0
railway (rolling stock) (train) (vehicle) (without antecedent collision),V81.7,,,code,0
with antecedent collision,,"Accident, transport, railway vehicle occupant",,see,0
streetcar (without antecedent collision),V82.7,,,code,0
with antecedent collision,,"Accident, transport, streetcar occupant",,see,0
parachute (voluntary) (without accident to aircraft),V97.29,,,code,0
due to accident to aircraft,,"Accident, transport, aircraft",,see,0
Desertion,X58,,,code,0
Destitution,X58,,,code,0
"Disability, late effect or sequela of injury",,Sequelae,,see,0
airgun,W34.010,,,code,0
assault,X95.01,,,code,0
homicide (attempt),X95.01,,,code,0
stated as undetermined whether accidental or intentional,Y24.0,,,code,0
suicide (attempt),X74.01,,,code,0
BB gun,,"Discharge, airgun",,see,0
firearm (accidental),Y24.9,,,code,0
accidental,W34.00,,,code,0
assault,X95.9,,,code,0
handgun (pistol) (revolver),Y22,,,code,0
accidental,W32.0,,,code,0
assault,X93,,,code,0
homicide (attempt),X93,,,code,0
legal intervention,,"Legal, intervention, firearm, handgun",,see,0
stated as undetermined whether accidental or intentional,Y22,,,code,0
suicide (attempt),X72,,,code,0
homicide (attempt),X95.9,,,code,0
hunting rifle,Y23.1,,,code,0
accidental,W33.02,,,code,0
assault,X94.1,,,code,0
homicide (attempt),X94.1,,,code,0
bystander,Y35.032,,,code,0
law enforcement personnel,Y35.031,,,code,0
suspect,Y35.033,,,code,0
unspecified person,Y35.039,,,code,0
stated as undetermined whether accidental or intentional,Y23.1,,,code,0
suicide (attempt),X73.1,,,code,0
larger,Y23.9,,,code,0
accidental,W33.00,,,code,0
assault,X94.9,,,code,0
homicide (attempt),X94.9,,,code,0
hunting rifle,,"Discharge, firearm, hunting rifle",,see,0
legal intervention,,"Legal, intervention, firearm by type of firearm",,see,0
machine gun,,"Discharge, firearm, machine gun",,see,0
shotgun,,"Discharge, firearm, shotgun",,see,0
specified NEC,Y23.8,,,code,0
accidental,W33.09,,,code,0
assault,X94.8,,,code,0
homicide (attempt),X94.8,,,code,0
bystander,Y35.092,,,code,0
law enforcement personnel,Y35.091,,,code,0
suspect,Y35.003,,,code,0
unspecified person,Y35.099,,,code,0
stated as undetermined whether accidental or intentional,Y23.8,,,code,0
suicide (attempt),X73.8,,,code,0
stated as undetermined whether accidental or intentional,Y23.9,,,code,0
suicide (attempt),X73.9,,,code,0
bystander,Y35.002,,,code,0
law enforcement personnel,Y35.001,,,code,0
suspect,Y35.003,,,code,0
unspecified person,Y35.009,,,code,0
bystander,Y35.042,,,code,0
law enforcement personnel,Y35.041,,,code,0
suspect,Y35.043,,,code,0
unspecified person,Y35.049,,,code,0
machine gun,Y23.3,,,code,0
accidental,W33.03,,,code,0
assault,X94.2,,,code,0
homicide (attempt),X94.2,,,code,0
legal intervention,,"Legal, intervention, firearm, machine gun",,see,0
stated as undetermined whether accidental or intentional,Y23.3,,,code,0
suicide (attempt),X73.2,,,code,0
pellet gun,,"Discharge, airgun",,see,0
shotgun,Y23.0,,,code,0
accidental,W33.01,,,code,0
assault,X94.0,,,code,0
homicide (attempt),X94.0,,,code,0
legal intervention,,"Legal, intervention, firearm, specified NEC",,see,0
stated as undetermined whether accidental or intentional,Y23.0,,,code,0
suicide (attempt),X73.0,,,code,0
specified NEC,W34.09,,,code,0
assault,X95.8,,,code,0
homicide (attempt),X95.8,,,code,0
legal intervention,,"Legal, intervention, firearm, specified NEC",,see,0
stated as undetermined whether accidental or intentional,Y24.8,,,code,0
suicide (attempt),X74.8,,,code,0
stated as undetermined whether accidental or intentional,Y24.9,,,code,0
suicide (attempt),X74.9,,,code,0
Very pistol,W34.09,,,code,0
assault,X95.8,,,code,0
homicide (attempt),X95.8,,,code,0
stated as undetermined whether accidental or intentional,Y24.8,,,code,0
suicide (attempt),X74.8,,,code,0
firework(s),W39,,,code,0
stated as undetermined whether accidental or intentional,Y25,,,code,0
gas-operated gun NEC,W34.018,,,code,0
airgun,,"Discharge, airgun",,see,0
assault,X95.09,,,code,0
homicide (attempt),X95.09,,,code,0
paintball gun,,"Discharge, paintball gun",,see,0
stated as undetermined whether accidental or intentional,Y24.8,,,code,0
suicide (attempt),X74.09,,,code,0
gun NEC,,,"Discharge, firearm NEC",see_also,0
air,,"Discharge, airgun",,see,0
BB,,"Discharge, airgun",,see,0
for single hand use,,"Discharge, firearm, handgun",,see,0
hand,,"Discharge, firearm, handgun",,see,0
machine,,"Discharge, firearm, machine gun",,see,0
other specified,,"Discharge, firearm NEC",,see,0
paintball,,"Discharge, paintball gun",,see,0
pellet,,"Discharge, airgun",,see,0
handgun,,"Discharge, firearm, handgun",,see,0
machine gun,,"Discharge, firearm, machine gun",,see,0
paintball gun,W34.011,,,code,0
assault,X95.02,,,code,0
homicide (attempt),X95.02,,,code,0
stated as undetermined whether accidental or intentional,Y24.8,,,code,0
suicide (attempt),X74.02,,,code,0
pistol,,"Discharge, firearm, handgun",,see,0
flare,,"Discharge, firearm, Very pistol",,see,0
pellet,,"Discharge, airgun",,see,0
Very,,"Discharge, firearm, Very pistol",,see,0
revolver,,"Discharge, firearm, handgun",,see,0
rifle (hunting),,"Discharge, firearm, hunting rifle",,see,0
shotgun,,"Discharge, firearm, shotgun",,see,0
spring-operated gun NEC,W34.018,,,code,0
assault,X95.09,,,code,0
homicide (attempt),X95.09,,,code,0
stated as undetermined whether accidental or intentional,Y24.8,,,code,0
suicide (attempt),X74.09,,,code,0
Andes,W94.11,,,code,0
aviator's,,"Air, pressure",,see,0
range,W94.11,,,code,0
"Diver's disease, palsy, paralysis, squeeze",,"Air, pressure",,see,0
Diving (into water),,"Accident, diving",,see,0
Dog bite,W54.0,,,code,0
Dragged by transport vehicle NEC,V09.9,,"Accident, transport",code_with_see_also,0
Drinking poison (accidental),,Table of Drugs and Chemicals,,see,0
Dropped (accidentally) while being carried or supported by other person,W04,,,code,0
Drowning (accidental),W74,,,code,0
assault,X92.9,,,code,0
machinery,,"Contact, with, by type of machine",,see,0
watercraft,V90.89,,,code,0
burning,V90.29,,,code,0
powered,V90.23,,,code,0
merchant ship,V90.20,,,code,0
passenger ship,V90.21,,,code,0
fishing boat,V90.22,,,code,0
jetskis,V90.23,,,code,0
unpowered,V90.28,,,code,0
canoe,V90.25,,,code,0
inflatable,V90.26,,,code,0
kayak,V90.25,,,code,0
sailboat,V90.24,,,code,0
water skis,V90.27,,,code,0
crushed,V90.39,,,code,0
powered,V90.33,,,code,0
merchant ship,V90.30,,,code,0
passenger ship,V90.31,,,code,0
fishing boat,V90.32,,,code,0
jetskis,V90.33,,,code,0
unpowered,V90.38,,,code,0
canoe,V90.35,,,code,0
inflatable,V90.36,,,code,0
kayak,V90.35,,,code,0
sailboat,V90.34,,,code,0
water skis,V90.37,,,code,0
overturning,V90.09,,,code,0
powered,V90.03,,,code,0
merchant ship,V90.00,,,code,0
passenger ship,V90.01,,,code,0
fishing boat,V90.02,,,code,0
jetskis,V90.03,,,code,0
unpowered,V90.08,,,code,0
canoe,V90.05,,,code,0
inflatable,V90.06,,,code,0
kayak,V90.05,,,code,0
sailboat,V90.04,,,code,0
sinking,V90.19,,,code,0
powered,V90.13,,,code,0
merchant ship,V90.10,,,code,0
passenger ship,V90.11,,,code,0
fishing boat,V90.12,,,code,0
jetskis,V90.13,,,code,0
unpowered,V90.18,,,code,0
canoe,V90.15,,,code,0
inflatable,V90.16,,,code,0
kayak,V90.15,,,code,0
sailboat,V90.14,,,code,0
specified type NEC,V90.89,,,code,0
powered,V90.83,,,code,0
merchant ship,V90.80,,,code,0
passenger ship,V90.81,,,code,0
fishing boat,V90.82,,,code,0
jetskis,V90.83,,,code,0
unpowered,V90.88,,,code,0
canoe,V90.85,,,code,0
inflatable,V90.86,,,code,0
kayak,V90.85,,,code,0
sailboat,V90.84,,,code,0
water skis,V90.87,,,code,0
avalanche,,Landslide,,see,0
earth surface movement NEC,,"Forces of nature, earth movement",,see,0
storm,,"Forces of nature, cataclysmic storm",,see,0
cloudburst,X37.8,,,code,0
cyclone,X37.1,,,code,0
fall overboard (from),V92.09,,,code,0
powered craft,V92.03,,,code,0
ferry boat,V92.01,,,code,0
liner,V92.01,,,code,0
merchant ship,V92.00,,,code,0
passenger ship,V92.01,,,code,0
fishing boat,V92.02,,,code,0
jetskis,V92.03,,,code,0
unpowered craft,V92.08,,,code,0
canoe,V92.05,,,code,0
inflatable,V92.06,,,code,0
kayak,V92.05,,,code,0
sailboat,V92.04,,,code,0
surf-board,V92.08,,,code,0
water skis,V92.07,,,code,0
windsurfer,V92.08,,,code,0
accident to watercraft,,"Drowning, due to, accident to, watercraft",,see,0
being washed overboard (from),V92.29,,,code,0
powered craft,V92.23,,,code,0
ferry boat,V92.21,,,code,0
liner,V92.21,,,code,0
merchant ship,V92.20,,,code,0
passenger ship,V92.21,,,code,0
fishing boat,V92.22,,,code,0
jetskis,V92.23,,,code,0
unpowered craft,V92.28,,,code,0
canoe,V92.25,,,code,0
inflatable,V92.26,,,code,0
kayak,V92.25,,,code,0
sailboat,V92.24,,,code,0
surf-board,V92.28,,,code,0
water skis,V92.27,,,code,0
windsurfer,V92.28,,,code,0
motion of watercraft,V92.19,,,code,0
powered craft,V92.13,,,code,0
ferry boat,V92.11,,,code,0
liner,V92.11,,,code,0
merchant ship,V92.10,,,code,0
passenger ship,V92.11,,,code,0
fishing boat,V92.12,,,code,0
jetskis,V92.13,,,code,0
canoe,V92.15,,,code,0
inflatable,V92.16,,,code,0
kayak,V92.15,,,code,0
sailboat,V92.14,,,code,0
hurricane,X37.0,,,code,0
jumping into water from watercraft (involved in accident),,,"Drowning, due to, accident to, watercraft",see_also,0
without accident to or on watercraft,W16.711,,,code,0
tidal wave NEC,,"Forces of nature, tidal wave",,see,0
torrential rain,X37.8,,,code,0
bathtub,W16.211,,,code,0
bucket,W16.221,,,code,0
fountain,,"Drowning, following, fall, into, water, specified NEC",,see,0
quarry,,"Drowning, following, fall, into, water, specified NEC",,see,0
reservoir,,"Drowning, following, fall, into, water, specified NEC",,see,0
swimming-pool,W16.011,,,code,0
bottom,W16.021,,,code,0
wall,W16.031,,,code,0
stated as undetermined whether accidental or intentional,Y21.3,,,code,0
suicide (attempt),X71.2,,,code,0
water NOS,W16.41,,,code,0
natural (lake) (open sea) (river) (stream) (pond),W16.111,,,code,0
bottom,W16.121,,,code,0
side,W16.131,,,code,0
specified NEC,W16.311,,,code,0
bottom,W16.321,,,code,0
wall,W16.331,,,code,0
overboard NEC,,"Drowning, due to, fall overboard",,see,0
from boat,W16.711,,,code,0
striking bottom,W16.721,,,code,0
fountain,,"Drowning, following, jump or dive, into, water, specified NEC",,see,0
quarry,,"Drowning, following, jump or dive, into, water, specified NEC",,see,0
reservoir,,"Drowning, following, jump or dive, into, water, specified NEC",,see,0
swimming-pool,W16.511,,,code,0
bottom,W16.521,,,code,0
wall,W16.531,,,code,0
suicide (attempt),X71.2,,,code,0
water NOS,W16.91,,,code,0
natural (lake) (open sea) (river) (stream) (pond),W16.611,,,code,0
specified NEC,W16.811,,,code,0
bottom,W16.821,,,code,0
wall,W16.831,,,code,0
striking bottom,W16.621,,,code,0
homicide (attempt),X92.9,,,code,0
bathtub (accidental),W65,,,code,0
assault,X92.0,,,code,0
following fall,W16.211,,,code,0
stated as undetermined whether accidental or intentional,Y21.1,,,code,0
stated as undetermined whether accidental or intentional,Y21.0,,,code,0
suicide (attempt),X71.0,,,code,0
lake,,"Drowning, in, natural water",,see,0
natural water (lake) (open sea) (river) (stream) (pond),W69,,,code,0
assault,X92.3,,,code,0
dive or jump,W16.611,,,code,0
striking bottom,W16.621,,,code,0
fall,W16.111,,,code,0
bottom,W16.121,,,code,0
side,W16.131,,,code,0
stated as undetermined whether accidental or intentional,Y21.4,,,code,0
suicide (attempt),X71.3,,,code,0
quarry,,"Drowning, in, specified place NEC",,see,0
quenching tank,,"Drowning, in, specified place NEC",,see,0
reservoir,,"Drowning, in, specified place NEC",,see,0
river,,"Drowning, in, natural water",,see,0
sea,,"Drowning, in, natural water",,see,0
specified place NEC,W73,,,code,0
assault,X92.8,,,code,0
dive or jump,W16.811,,,code,0
bottom,W16.821,,,code,0
wall,W16.831,,,code,0
fall,W16.311,,,code,0
bottom,W16.321,,,code,0
wall,W16.331,,,code,0
stated as undetermined whether accidental or intentional,Y21.8,,,code,0
suicide (attempt),X71.8,,,code,0
stream,,"Drowning, in, natural water",,see,0
swimming-pool,W67,,,code,0
assault,X92.1,,,code,0
following fall,X92.2,,,code,0
dive or jump,W16.511,,,code,0
bottom,W16.521,,,code,0
wall,W16.531,,,code,0
fall,W16.011,,,code,0
bottom,W16.021,,,code,0
wall,W16.031,,,code,0
stated as undetermined whether accidental or intentional,Y21.2,,,code,0
following fall,Y21.3,,,code,0
suicide (attempt),X71.1,,,code,0
following fall,X71.2,,,code,0
war operations,,"War operations, restriction of airway",,see,0
resulting from accident to watercraft,,"Drowning, due to, accident to, watercraft",,see,0
self-inflicted,X71.9,,,code,0
stated as undetermined whether accidental or intentional,Y21.9,,,code,0
suicide (attempt),X71.9,,,code,0
Earth (surface) movement NEC,,"Forces of nature, earth movement",,see,0
Earth falling (on),W20.0,,,code,0
caused by cataclysmic earth surface movement or eruption,,Landslide,,see,0
Earthquake (any injury),X34,,,code,0
air pressure (any),,"Air, pressure",,see,0
"cold, excessive (exposure to)",,"Exposure, cold",,see,0
heat (excessive),,Heat,,see,0
hot place (weather),,Heat,,see,0
insolation,X30,,,code,0
late,,Sequelae,,see,0
motion,,Motion,,see,0
nuclear explosion or weapon in war operations,,"War operations, nuclear weapon",,see,0
radiation,,Radiation,,see,0
travel,,Travel,,see,0
Electric shock (accidental) (by) (in),,"Exposure, electric current",,see,0
Electrocution (accidental),,"Exposure, electric current",,see,0
"bed linen, causing suffocation",T71,category,,code_with_see,0
wheel of pedal cycle,V19.88,,,code,0
Entry of foreign body or material,,Foreign body,,see,0
Environmental pollution related condition,Z77,category,,code_with_see,0
"Execution, legal (any method)",,"Legal, intervention",,see,0
cold,,"Exposure, cold",,see,0
due to excessive exertion,X50.9,,Overexertion,code_with_see_also,0
heat,,Heat,,see,0
Explosion (accidental) (of) (with secondary fire),W40.9,,,code,0
acetylene,W40.1,,,code,0
aerosol can,W36.1,,,code,0
air tank (compressed) (in machinery),W36.2,,,code,0
aircraft (in transit) (powered) NEC,V95.9,,,code,0
balloon,V96.05,,,code,0
fixed wing NEC (private),V95.25,,,code,0
commercial,V95.35,,,code,0
glider,V96.25,,,code,0
hang,V96.15,,,code,0
powered,V95.15,,,code,0
helicopter,V95.05,,,code,0
in war operations,,"War operations, destruction of aircraft",,see,0
microlight,V95.15,,,code,0
nonpowered,V96.9,,,code,0
specified NEC,V96.8,,,code,0
powered NEC,V95.8,,,code,0
homicide (attempt),Y08.81,,,code,0
suicide (attempt),X83.0,,,code,0
ultralight,V95.15,,,code,0
anesthetic gas in operating room,W40.1,,,code,0
antipersonnel bomb,W40.8,,,code,0
assault,X96.0,,,code,0
homicide (attempt),X96.0,,,code,0
suicide (attempt),X75,,,code,0
assault,X96.9,,,code,0
bicycle tire,W37.0,,,code,0
blasting (cap) (materials),W40.0,,,code,0
"boiler (machinery), not on transport vehicle",W35,,,code,0
on watercraft,,"Explosion, in, watercraft",,see,0
butane,W40.1,,,code,0
caused by other person,X96.9,,,code,0
coal gas,W40.1,,,code,0
detonator,W40.0,,,code,0
dump (munitions),W40.8,,,code,0
dynamite,W40.0,,,code,0
assault,X96.8,,,code,0
homicide (attempt),X96.8,,,code,0
bystander,Y35.112,,,code,0
law enforcement personnel,Y35.111,,,code,0
suspect,Y35.113,,,code,0
unspecified person,Y35.119,,,code,0
suicide (attempt),X75,,,code,0
explosive (material),W40.9,,,code,0
gas,W40.1,,,code,0
in blasting operation,W40.0,,,code,0
specified NEC,W40.8,,,code,0
assault,X96.8,,,code,0
homicide (attempt),X96.8,,,code,0
bystander,Y35.192,,,code,0
law enforcement personnel,Y35.191,,,code,0
suspect,Y35.193,,,code,0
unspecified person,Y35.199,,,code,0
suicide (attempt),X75,,,code,0
factory (munitions),W40.8,,,code,0
fertilizer bomb,W40.8,,,code,0
assault,X96.3,,,code,0
homicide (attempt),X96.3,,,code,0
suicide (attempt),X75,,,code,0
firearm (parts) NEC,W34.19,,,code,0
airgun,W34.110,,,code,0
BB gun,W34.110,,,code,0
"gas, air or spring-operated gun NEC",W34.118,,,code,0
handgun,W32.1,,,code,0
hunting rifle,W33.12,,,code,0
larger firearm,W33.10,,,code,0
specified NEC,W33.19,,,code,0
machine gun,W33.13,,,code,0
paintball gun,W34.111,,,code,0
pellet gun,W34.110,,,code,0
shotgun,W33.11,,,code,0
Very pistol [flare],W34.19,,,code,0
fire-damp,W40.1,,,code,0
fireworks,W39,,,code,0
gas (coal) (explosive),W40.1,,,code,0
cylinder,W36.9,,,code,0
aerosol can,W36.1,,,code,0
air tank,W36.2,,,code,0
pressurized,W36.3,,,code,0
specified NEC,W36.8,,,code,0
gasoline (fumes) (tank) not in moving motor vehicle,W40.1,,,code,0
bomb,W40.8,,,code,0
assault,X96.1,,,code,0
homicide (attempt),X96.1,,,code,0
suicide (attempt),X75,,,code,0
in motor vehicle,,"Accident, transport, by type of vehicle",,see,0
grain store,W40.8,,,code,0
grenade,W40.8,,,code,0
assault,X96.8,,,code,0
homicide (attempt),X96.8,,,code,0
bystander,Y35.192,,,code,0
law enforcement personnel,Y35.191,,,code,0
suspect,Y35.193,,,code,0
unspecified person,Y35.199,,,code,0
suicide (attempt),X75,,,code,0
handgun (parts),,"Explosion, firearm, handgun",,see,0
homicide (attempt),X96.9,,,code,0
antipersonnel bomb,,"Explosion, antipersonnel bomb",,see,0
fertilizer bomb,,"Explosion, fertilizer bomb",,see,0
gasoline bomb,,"Explosion, gasoline bomb",,see,0
letter bomb,,"Explosion, letter bomb",,see,0
pipe bomb,,"Explosion, pipe bomb",,see,0
specified NEC,X96.8,,,code,0
"hose, pressurized",W37.8,,,code,0
"hot water heater, tank (in machinery)",W35,,,code,0
on watercraft,,"Explosion, in, watercraft",,see,0
dump,W40.8,,,code,0
factory,W40.8,,,code,0
mine (of explosive gases) NEC,W40.1,,,code,0
watercraft,V93.59,,,code,0
powered craft,V93.53,,,code,0
ferry boat,V93.51,,,code,0
fishing boat,V93.52,,,code,0
jetskis,V93.53,,,code,0
liner,V93.51,,,code,0
merchant ship,V93.50,,,code,0
passenger ship,V93.51,,,code,0
sailboat,V93.54,,,code,0
letter bomb,W40.8,,,code,0
assault,X96.2,,,code,0
homicide (attempt),X96.2,,,code,0
suicide (attempt),X75,,,code,0
machinery,,,"Contact, with, by type of machine",see_also,0
on board watercraft,,"Explosion, in, watercraft",,see,0
pressure vessel,,"Explosion, by type of vessel",,see,0
methane,W40.1,,,code,0
mine,W40.1,,,code,0
missile NEC,W40.8,,,code,0
mortar bomb,W40.8,,,code,0
assault,X96.8,,,code,0
homicide (attempt),X96.8,,,code,0
bystander,Y35.192,,,code,0
law enforcement personnel,Y35.191,,,code,0
suspect,Y35.193,,,code,0
unspecified person,Y35.199,,,code,0
suicide (attempt),X75,,,code,0
munitions (dump) (factory),W40.8,,,code,0
"pipe, pressurized",W37.8,,,code,0
bomb,W40.8,,,code,0
assault,X96.4,,,code,0
homicide (attempt),X96.4,,,code,0
suicide (attempt),X75,,,code,0
cooker,W38,,,code,0
gas tank (in machinery),W36.3,,,code,0
hose,W37.8,,,code,0
pipe,W37.8,,,code,0
specified device NEC,W38,,,code,0
tire,W37.8,,,code,0
bicycle,W37.0,,,code,0
vessel (in machinery),W38,,,code,0
propane,W40.1,,,code,0
self-inflicted,X75,,,code,0
shell (artillery) NEC,W40.8,,,code,0
during war operations,,"War operations, explosion",,see,0
bystander,Y35.122,,,code,0
law enforcement personnel,Y35.121,,,code,0
suspect,Y35.123,,,code,0
unspecified person,Y35.129,,,code,0
war,,"War operations, explosion",,see,0
spacecraft,V95.45,,,code,0
steam or water lines (in machinery),W37.8,,,code,0
stove,W40.9,,,code,0
stated as undetermined whether accidental or intentional,Y25,,,code,0
suicide (attempt),X75,,,code,0
"tire, pressurized",W37.8,,,code,0
bicycle,W37.0,,,code,0
undetermined whether accidental or intentional,Y25,,,code,0
vehicle tire NEC,W37.8,,,code,0
bicycle,W37.0,,,code,0
war operations,,"War operations, explosion",,see,0
Exposure (to),X58,,,code,0
air pressure change,,"Air, pressure",,see,0
cold (accidental) (excessive) (extreme) (natural) (place),X31,,,code,0
assault,Y08.89,,,code,0
man-made conditions,W93.8,,,code,0
dry ice (contact),W93.01,,,code,0
inhalation,W93.02,,,code,0
liquid air (contact) (hydrogen) (nitrogen),W93.11,,,code,0
inhalation,W93.12,,,code,0
refrigeration unit (deep freeze),W93.2,,,code,0
suicide (attempt),X83.2,,,code,0
weather (conditions),X31,,,code,0
homicide (attempt),Y08.89,,,code,0
self-inflicted,X83.2,,,code,0
due to abandonment or neglect,X58,,,code,0
electric current,W86.8,,,code,0
appliance (faulty),W86.8,,,code,0
domestic,W86.0,,,code,0
caused by other person,Y08.89,,,code,0
conductor (faulty),W86.1,,,code,0
control apparatus (faulty),W86.1,,,code,0
"electric power generating plant, distribution station",W86.1,,,code,0
electroshock gun,,"Exposure, electric current, taser",,see,0
high-voltage cable,W85,,,code,0
homicide (attempt),Y08.89,,,code,0
legal execution,,"Legal, intervention, specified means NEC",,see,0
lightning,T75.0,subcategory,,code_with_see,0
live rail,W86.8,,,code,0
misadventure in medical or surgical procedure in electroshock therapy,Y63.4,,,code,0
motor (electric) (faulty),W86.8,,,code,0
domestic,W86.0,,,code,0
self-inflicted,X83.1,,,code,0
specified NEC,W86.8,,,code,0
domestic,W86.0,,,code,0
stun gun,,"Exposure, electric current, taser",,see,0
suicide (attempt),X83.1,,,code,0
taser,W86.8,,,code,0
assault,Y08.89,,,code,0
legal intervention,Y35,category,,code_with_see,0
self-harm (intentional),X83.8,,,code,0
undetermined intent,Y33,,,code,0
third rail,W86.8,,,code,0
transformer (faulty),W86.1,,,code,0
transmission lines,W85,,,code,0
environmental tobacco smoke,X58,,,code,0
cold,,"Exposure, cold",,see,0
heat (natural) NEC,X30,,,code,0
man-made,W92,,,code,0
factor(s) NOS,X58,,,code,0
environmental NEC,X58,,,code,0
man-made NEC,W99,,,code,0
natural NEC,,Forces of nature,,see,0
specified NEC,X58,,,code,0
"fire, flames (accidental)",X08.8,,,code,0
assault,X97,,,code,0
campfire,,"Exposure, fire, controlled, not in building",,see,0
with ignition (of) clothing,X06.2,,"Ignition, clothes",code_with_see_also,0
nightwear,X05,,,code,0
bonfire,,"Exposure, fire, controlled, not in building",,see,0
brazier (in building or structure),,,"Exposure, fire, controlled, building",see_also,0
not in building or structure,,"Exposure, fire, controlled, not in building",,see,0
building or structure,X02.0,,,code,0
fall from building,X02.3,,,code,0
injury due to building collapse,X02.2,,,code,0
jump from building,X02.5,,,code,0
smoke inhalation,X02.1,,,code,0
hit by object from building,X02.4,,,code,0
specified mode of injury NEC,X02.8,,,code,0
"fireplace, furnace or stove",,"Exposure, fire, controlled, building",,see,0
not in building or structure,X03.0,,,code,0
fall,X03.3,,,code,0
smoke inhalation,X03.1,,,code,0
hit by object,X03.4,,,code,0
specified mode of injury NEC,X03.8,,,code,0
trash,,"Exposure, fire, controlled, not in building",,see,0
fireplace,,"Exposure, fire, controlled, building",,see,0
fittings or furniture (in building or structure) (uncontrolled),,"Exposure, fire, uncontrolled, building",,see,0
forest (uncontrolled),,"Exposure, fire, uncontrolled, not in building",,see,0
grass (uncontrolled),,"Exposure, fire, uncontrolled, not in building",,see,0
hay (uncontrolled),,"Exposure, fire, uncontrolled, not in building",,see,0
homicide (attempt),X97,,,code,0
ignition of highly flammable material,X04,,,code,0
machinery,,"Contact, with, by type of machine",,see,0
motor vehicle (in motion),V87.8,,"Accident, transport, occupant by type of vehicle",code_with_see_also,0
with collision,,Collision,,see,0
"railway rolling stock, train, vehicle",V81.81,,,code,0
with collision,,"Accident, transport, railway vehicle occupant",,see,0
streetcar (in motion),V82.8,,,code,0
with collision,,"Accident, transport, streetcar occupant",,see,0
transport vehicle NEC,,,"Accident, transport",see_also,0
with collision,,Collision,,see,0
war operations,,,"War operations, fire",see_also,0
from nuclear explosion,,"War operations, nuclear weapons",,see,0
watercraft (in transit) (not in transit),V91.09,,,code,0
localized,,"Burn, on board watercraft, due to, fire on board",,see,0
powered craft,V91.03,,,code,0
ferry boat,V91.01,,,code,0
fishing boat,V91.02,,,code,0
jet skis,V91.03,,,code,0
liner,V91.01,,,code,0
merchant ship,V91.00,,,code,0
passenger ship,V91.01,,,code,0
unpowered craft,V91.08,,,code,0
canoe,V91.05,,,code,0
inflatable,V91.06,,,code,0
kayak,V91.05,,,code,0
sailboat,V91.04,,,code,0
surf-board,V91.08,,,code,0
waterskis,V91.07,,,code,0
windsurfer,V91.08,,,code,0
lumber (uncontrolled),,"Exposure, fire, uncontrolled, not in building",,see,0
